Genus_Smithspecies,Carey_Kipuka,Kipuka_168,Kipuka_16,Kipuka_11,Kipuka_10,Kipuka_680,Kipuka_6_5am,Kipuka_368,Kipuka_671,Kipuka_425,Kipuka_7_8,Kipuka_2,Kipuka_3,Kipuka_7_9_1,Kipuka_7_9_2,Kipuka_7_9_3,Kipuka_13,Kipuka_14,Kipuka_8,Kipuka_620,Kipuka_622,Kipuka_621,Kipuka_24,Kipuka_Pratt1,Kipuka_Pratt2,Kipuka_18,Kipuka_15
Lomatium_dissectum,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1
Lomatium_idahoense,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
Mentzelia_albicaulis,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penstemon_cyananthus,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penstemon_procerus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Phacelia_heterophylla,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlox_aculeata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlox_hoodii,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
Phlox_longifolia,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
Purshia_tridentata,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
Ranunculus_glaberrimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ribes_aureum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Senecio_triangularis,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1
Sisymbrium_altissimum,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanomeria_tenuifolia,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinopyrum_junceum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thlaspi_arvense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Toxicoscordion_paniculatum,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viola_glabella,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1
Bromus_tectorum,,,,,,1,1,1,1,1,,0,,,,,,0,0,0,1,1,0,0,,0,0
Opuntia_polyacantha,,,,,,,,,1,1,,1,1,,,,1,1,1,1,1,1,1,1,,1,1
