"","BMcomp","BMfilt","BMneut","OUcomp","OUfilt","OUneut"
"1",0,0.283333333333333,0.516666666666667,0,0.0666666666666667,0.133333333333333
"2",0,0,0,0,0.633333333333333,0.366666666666667
"3",0,0,0,0,0.8,0.2
"4",0,0,0,0,0.716666666666667,0.283333333333333
"5",0,0,0,0,0.5,0.5
"6",0,0,0,0,0.583333333333333,0.416666666666667
"7",0.0166666666666667,0.333333333333333,0.283333333333333,0.0333333333333333,0.133333333333333,0.2
"8",0.15,0.2,0.166666666666667,0.25,0.116666666666667,0.116666666666667
