"","comp","filt","neut"
"1",0.061,0.537,0.402
"2",0.061,0.595,0.344
"3",0.067,0.613,0.32
"4",0.059,0.58,0.361
"5",0.021,0.463,0.516
"6",0.049,0.517,0.434
"7",0.043,0.516,0.441
"8",0.077,0.478,0.445
