"","kipuka","RF prob","ABC prob","median.tau"
"3",3,0.613,0.916666666666667,7.52148354554083
"4",4,0.58,0.666666666666667,15.9903690459905
"2",2,0.595,0.5,21.0034839485306
"1",1,0.537,0.35,23.885770200286
"5",5,0.463,0.466666666666667,26.7238052359316
"6",6,0.517,0.6,32.7735748597188
"7",7,0.516,0.466666666666667,36.145776575664
"8",8,0.478,0.25,37.7766317585483
